start: -1.895 -0.507 0.010 [0.000, 0.000, 0.156, 0.988]
search1: -0.822 -0.009 0.010 [0, 0, 0.118, 0.993]
search2: -1.313 1.434 0.010 [0, 0, 0.127, 0.992]
end: -2.901, 1.809 0.010 [0, 0, 0.960, -0.281]
p1: -0.803, 2.353, 0.010 [0, 0, 0.105, 0.994]
p2: -0.608, 1.657, 0.010 [0, 0, 0.134, 0.991]
p3: -0.401, 0.869, 0.010 [0, 0, 0.124, 0.992]
p4: -0.291, 0.079, 0.010 [0, 0, 0.106, 0.994]
p5: -0.169, -0.719, 0.010, [0, 0, 0.092, 0.996]
p6: -1.922, 1.029, 0.010, [0, 0, 0.997, -0.080]
p7: -1.694, 0.291, 0.010, [0, 0, 0.992, -0.123]
p8: -1.077, -0.846, 0.010 [0, 0, -0.621, 0.784]
